SERIE_INITIAL_DATA: 2010 1 01 0 0 0
TIME_UNITS: SECONDS     
seconds YY MM DD Kc  
<BeginTimeSerie>      
61948800 2011 12 19 0.658257834123631
62035200 2011 12 20 0.658257834123631
62121600 2011 12 21 0.658257834123631
62208000 2011 12 22 0.658257834123631
62294400 2011 12 23 0.658257834123631
62380800 2011 12 24 0.658257834123631
62467200 2011 12 25 0.658257834123631
62553600 2011 12 26 0.658257834123631
62640000 2011 12 27 0.658257834123631
62726400 2011 12 28 0.658257834123631
62812800 2011 12 29 0.658257834123631
62899200 2011 12 30 0.658257834123631
62985600 2011 12 31 0.658257834123631
63072000 2012 1 1 0.658257834123631
63158400 2012 1 2 0.658257834123631
63244800 2012 1 3 0.658257834123631
63331200 2012 1 4 0.658257834123631
63417600 2012 1 5 0.658257834123631
63504000 2012 1 6 0.658257834123631
63590400 2012 1 7 0.658257834123631
63676800 2012 1 8 0.658257834123631
63763200 2012 1 9 0.658257834123631
63849600 2012 1 10 0.658257834123631
63936000 2012 1 11 0.658257834123631
64022400 2012 1 12 0.658257834123631
64108800 2012 1 13 0.658257834123631
64195200 2012 1 14 0.658257834123631
64281600 2012 1 15 0.658257834123631
64368000 2012 1 16 0.658257834123631
64454400 2012 1 17 0.658257834123631
64540800 2012 1 18 0.658257834123631
64627200 2012 1 19 0.658257834123631
64713600 2012 1 20 0.658257834123631
64800000 2012 1 21 0.658257834123631
64886400 2012 1 22 0.658257834123631
64972800 2012 1 23 0.658257834123631
65059200 2012 1 24 0.658257834123631
65145600 2012 1 25 0.658257834123631
65232000 2012 1 26 0.658257834123631
65318400 2012 1 27 0.658257834123631
65404800 2012 1 28 0.658257834123631
65491200 2012 1 29 0.658257834123631
65577600 2012 1 30 0.658257834123631
65664000 2012 1 31 0.658257834123631
65750400 2012 2 1 0.658257834123631
65836800 2012 2 2 0.658257834123631
65923200 2012 2 3 0.658257834123631
66009600 2012 2 4 0.658257834123631
66096000 2012 2 5 0.658257834123631
66182400 2012 2 6 0.658257834123631
66268800 2012 2 7 0.658257834123631
66355200 2012 2 8 0.658257834123631
66441600 2012 2 9 0.658257834123631
66528000 2012 2 10 0.658257834123631
66614400 2012 2 11 0.658257834123631
66700800 2012 2 12 0.658257834123631
66787200 2012 2 13 0.658257834123631
66873600 2012 2 14 0.658257834123631
66960000 2012 2 15 0.658257834123631
67046400 2012 2 16 0.658257834123631
67132800 2012 2 17 0.658257834123631
67219200 2012 2 18 0.658257834123631
67305600 2012 2 19 0.658257834123631
67392000 2012 2 20 0.658257834123631
67478400 2012 2 21 0.658257834123631
67564800 2012 2 22 0.658257834123631
67651200 2012 2 23 0.658257834123631
67737600 2012 2 24 0.658257834123631
67824000 2012 2 25 0.658257834123631
67910400 2012 2 26 0.658257834123631
67996800 2012 2 27 0.658257834123631
68083200 2012 2 28 0.658257834123631
68169600 2012 2 29 0.658257834123631
68256000 2012 3 1 0.658257834123631
68342400 2012 3 2 0.658257834123631
68428800 2012 3 3 0.658257834123631
68515200 2012 3 4 0.658257834123631
68601600 2012 3 5 0.658257834123631
68688000 2012 3 6 0.658257834123631
68774400 2012 3 7 0.658257834123631
68860800 2012 3 8 0.658257834123631
68947200 2012 3 9 0.658257834123631
69033600 2012 3 10 0.658257834123631
69120000 2012 3 11 0.658257834123631
69206400 2012 3 12 0.658257834123631
69292800 2012 3 13 0.658257834123631
69379200 2012 3 14 0.658257834123631
69465600 2012 3 15 0.658257834123631
69552000 2012 3 16 0.658257834123631
69638400 2012 3 17 0.658257834123631
69724800 2012 3 18 0.658257834123631
69811200 2012 3 19 0.658257834123631
69897600 2012 3 20 0.658257834123631
69984000 2012 3 21 0.658257834123631
